subject_id,session_type,proportion,MSE,true_score,instantaneous_density,proportional_density,max_normed_density,z,pval_2t,metric,simulated_change,percentile,absolute_z
avatarRT_sub_06,WMP,0.2,0.011564528,-0.085016667,3.69E-175,-0.004085195,9.17E-177,-10.7492594,5.97E-27,variance,subselection,0.99999998,10.7492594
avatarRT_sub_06,WMP,0.2,0.008341719,-0.085016667,2.18E-103,-0.00448485,6.45E-105,-8.249180604,1.59E-16,variance,realignment,0.99999998,8.249180604
avatarRT_sub_07,IM,0.2,0.002735851,-0.021655315,0.006585074,-0.01883671,0.000247814,-3.520029686,0.000431499,variance,subselection,0.99999998,3.520029686
avatarRT_sub_07,IM,0.2,0.000615978,-0.021655315,13.56553611,0.548160368,0.555357561,-1.108979276,0.267439122,variance,realignment,0.74799998,1.108979276
avatarRT_sub_07,WMP,0.2,0.006253865,-0.035884064,0.00050162,-0.004035472,2.65E-05,-3.680351793,0.000232912,variance,subselection,0.99999998,3.680351793
avatarRT_sub_07,WMP,0.2,0.009859429,-0.035884064,0.003983007,-0.016481058,0.000255487,3.911875758,9.16E-05,variance,realignment,1.00000002,3.911875758
avatarRT_sub_08,IM,0.2,0.005045286,-0.042763355,4.47E-12,-0.004451661,1.52E-13,-5.017862411,5.22E-07,variance,subselection,0.99999998,5.017862411
avatarRT_sub_08,IM,0.2,0.000643621,-0.042763355,14.39432524,0.809974711,0.810771459,-0.644372832,0.519333697,variance,realignment,0.47599998,0.644372832
avatarRT_sub_08,WMP,0.2,0.001899192,-0.013668953,0.643556369,0.013063066,0.022484195,-3.012152069,0.002594026,variance,subselection,0.99599998,3.012152069
avatarRT_sub_08,WMP,0.2,0.000369796,-0.013668953,20.60732743,0.98425415,0.984501503,-0.214071159,0.830491566,variance,realignment,0.15399998,0.214071159
avatarRT_sub_10,IM,0.2,0.002862581,-0.02879339,0.063084898,-0.001771579,0.002172131,-3.721277037,0.000198218,variance,subselection,0.99799998,3.721277037
avatarRT_sub_10,IM,0.2,0.001098107,-0.02879339,3.087130269,0.105747568,0.117458854,-2.120290235,0.033981577,variance,realignment,0.96999998,2.120290235
avatarRT_sub_10,WMP,0.2,0.001758506,0.003498163,2.389116557,0.093470201,0.104287951,-2.090220977,0.036597954,variance,subselection,0.97199998,2.090220977
avatarRT_sub_10,WMP,0.2,0.017293423,0.003498163,1.26E-44,-0.022857004,6.43E-46,6.560888224,5.35E-11,variance,realignment,1.00000002,6.560888224
avatarRT_sub_11,IM,0.2,0.001991663,0.05949057,3.31E-10,-0.007139957,8.05E-12,4.6984202,2.62E-06,variance,subselection,1.00000002,4.6984202
avatarRT_sub_11,IM,0.2,0.003094111,0.05949057,0.393911736,0.007996477,0.016663248,3.060752848,0.002207813,variance,realignment,0.99600002,3.060752848
avatarRT_sub_11,WMP,0.2,0.000432572,0.003268552,10.45520763,0.285969756,0.296024238,-1.478153807,0.139366615,variance,subselection,0.86599998,1.478153807
avatarRT_sub_11,WMP,0.2,0.000426142,0.003268552,18.79545727,0.980895086,0.981117405,0.086965828,0.930698675,variance,realignment,0.09200002,0.086965828
avatarRT_sub_13,IM,0.2,0.001983998,-0.020173255,0.25188747,-0.000831462,0.008619972,-3.113658123,0.001847835,variance,subselection,0.99999998,3.113658123
avatarRT_sub_13,IM,0.2,0.000660657,-0.020173255,15.90450074,0.871371748,0.872379823,-0.739266624,0.459745112,variance,realignment,0.54199998,0.739266624
avatarRT_sub_13,WMP,0.2,0.013489203,0.124105945,0,-0.004214331,0,14.56273612,4.85E-48,variance,subselection,1.00000002,14.56273612
avatarRT_sub_13,WMP,0.2,0.002113637,0.124105945,2.518530003,0.13188864,0.140360896,2.0285348,0.042505695,variance,realignment,0.94600002,2.0285348
avatarRT_sub_14,IM,0.2,0.000185235,0.01184683,30.7440759,0.806702282,0.8078546,-0.827905822,0.407723837,variance,subselection,0.58799998,0.827905822
avatarRT_sub_14,IM,0.2,0.000662997,0.01184683,13.95774805,0.762356703,0.763344814,0.70531137,0.480616486,variance,realignment,0.53200002,0.70531137
avatarRT_sub_14,WMP,0.2,0.015115643,-0.08639695,1.90E-72,-0.011823139,7.30E-74,-7.507899684,6.01E-14,variance,subselection,0.99999998,7.507899684
avatarRT_sub_14,WMP,0.2,0.006852646,-0.08639695,9.00E-16,-0.004132499,3.43E-17,-5.423308808,5.85E-08,variance,realignment,0.99999998,5.423308808
avatarRT_sub_15,IM,0.2,0.013870277,-0.090239286,4.38E-154,-0.004025865,1.28E-155,-9.547822759,1.32E-21,variance,subselection,0.99999998,9.547822759
avatarRT_sub_15,IM,0.2,0.008303857,-0.090239286,4.41E-37,-0.008000164,1.78E-38,-5.882131052,4.05E-09,variance,realignment,0.99999998,5.882131052
avatarRT_sub_15,WMP,0.2,0.005299191,-0.051370397,4.86E-59,-0.004086833,1.30E-60,-6.929793863,4.21E-12,variance,subselection,0.99999998,6.929793863
avatarRT_sub_15,WMP,0.2,0.002959361,-0.051370397,0.484676034,0.01562058,0.024346509,-2.677132922,0.007425517,variance,realignment,0.99999998,2.677132922
avatarRT_sub_16,IM,0.2,0.013047538,-0.074014917,2.00E-43,-0.010851358,7.97E-45,-6.725975282,1.74E-11,variance,subselection,0.99999998,6.725975282
avatarRT_sub_16,IM,0.2,0.00240091,-0.074014917,2.723550581,0.137244522,0.142785465,2.149234304,0.031615831,variance,realignment,0.95200002,2.149234304
avatarRT_sub_16,WMP,0.2,0.005050762,-0.036220508,5.68E-06,-0.008516566,2.13E-07,-4.663612053,3.11E-06,variance,subselection,0.99999998,4.663612053
avatarRT_sub_16,WMP,0.2,0.006437756,-0.036220508,4.62E-07,-0.015565295,2.16E-08,4.36601714,1.27E-05,variance,realignment,1.00000002,4.36601714
avatarRT_sub_17,IM,0.2,0.013688486,-0.084118207,6.21E-70,-0.007926045,2.47E-71,-7.356608847,1.89E-13,variance,subselection,0.99999998,7.356608847
avatarRT_sub_17,IM,0.2,0.000763904,-0.084118207,13.87527552,0.723650168,0.72563609,-0.875484779,0.381310189,variance,realignment,0.61799998,0.875484779
avatarRT_sub_17,WMP,0.2,0.001612178,-0.008139894,4.265827113,0.216508444,0.220173168,-1.789907205,0.07346883,variance,subselection,0.94399998,1.789907205
avatarRT_sub_17,WMP,0.2,0.00060778,-0.008139894,14.19157577,0.728175908,0.729368004,0.749051457,0.453826192,variance,realignment,0.54400002,0.749051457
avatarRT_sub_18,IM,0.2,0.000241736,0.014801827,24.71009905,0.769404218,0.770807114,-0.751177898,0.4525456,variance,subselection,0.54199998,0.751177898
avatarRT_sub_18,IM,0.2,0.000555971,0.014801827,15.0759903,0.721365609,0.724914097,0.733000006,0.463558426,variance,realignment,0.54400002,0.733000006
avatarRT_sub_18,WMP,0.2,0.002717063,-0.021798137,0.189039139,0.002282758,0.007015487,-3.222307157,0.001271627,variance,subselection,0.99999998,3.222307157
avatarRT_sub_18,WMP,0.2,0.000471302,-0.021798137,16.94148963,0.992966689,0.993022176,-0.090325706,0.928028394,variance,realignment,0.05799998,0.090325706
avatarRT_sub_19,IM,0.2,0.001962931,-0.009929236,0.209697662,0.003103362,0.007707121,-3.115648048,0.001835412,variance,subselection,0.99799998,3.115648048
