,session_type,session_id,run,total_variance,average_variance,data_type,subject_id
104,OMP,ses_04,3,0.11401939256755837,0.11012462716172115,component_data,avatarRT_sub_07
105,OMP,ses_04,4,0.11202580507873741,0.10254964390297609,manifold_projection,avatarRT_sub_07
106,OMP,ses_04,4,1.2305044657490323,1.0980843898208084,voxel_data,avatarRT_sub_07
107,OMP,ses_04,4,0.11261053327079916,0.10281100624465529,component_data,avatarRT_sub_07
108,IM,ses_02,1,0.1300330219773909,0.10879153909088565,manifold_projection,avatarRT_sub_08
109,IM,ses_02,1,1.094894921252777,0.9140840373685893,voxel_data,avatarRT_sub_08
110,IM,ses_02,1,0.13049810785403543,0.10890496702557886,component_data,avatarRT_sub_08
111,IM,ses_02,2,0.1444495072860456,0.1235658871496973,manifold_projection,avatarRT_sub_08
112,IM,ses_02,2,1.3888345972606724,1.241672299013102,voxel_data,avatarRT_sub_08
113,IM,ses_02,2,0.1449366430413779,0.12377411657036044,component_data,avatarRT_sub_08
114,IM,ses_02,3,0.07004902030154263,0.06421341998601669,manifold_projection,avatarRT_sub_08
115,IM,ses_02,3,0.7245253992742897,0.6451886159011284,voxel_data,avatarRT_sub_08
116,IM,ses_02,3,0.06796259110253676,0.062049328192233855,component_data,avatarRT_sub_08
117,IM,ses_02,4,0.10886302901262053,0.10369501356385855,manifold_projection,avatarRT_sub_08
118,IM,ses_02,4,1.149158217983907,1.0974450478143054,voxel_data,avatarRT_sub_08
119,IM,ses_02,4,0.10645112043194875,0.10105853010251561,component_data,avatarRT_sub_08
120,WMP,ses_04,1,0.10673408721949336,0.09473605221957919,manifold_projection,avatarRT_sub_08
121,WMP,ses_04,1,1.4256218328462777,1.3433692151726755,voxel_data,avatarRT_sub_08
122,WMP,ses_04,1,0.10688499899181877,0.09487640398530035,component_data,avatarRT_sub_08
123,WMP,ses_04,2,0.11657411784063387,0.11164600963696418,manifold_projection,avatarRT_sub_08
124,WMP,ses_04,2,0.895675456849398,0.8723174883465851,voxel_data,avatarRT_sub_08
125,WMP,ses_04,2,0.11679945265666956,0.11201671310045266,component_data,avatarRT_sub_08
126,WMP,ses_04,3,0.1124359349881106,0.09873175156497577,manifold_projection,avatarRT_sub_08
127,WMP,ses_04,3,1.22757550042038,1.1582992846863571,voxel_data,avatarRT_sub_08
128,WMP,ses_04,3,0.11291408033565493,0.09896177851090669,component_data,avatarRT_sub_08
129,WMP,ses_04,4,0.08816179004788953,0.0823432566069042,manifold_projection,avatarRT_sub_08
130,WMP,ses_04,4,0.9634963476857115,0.9331555891937269,voxel_data,avatarRT_sub_08
131,WMP,ses_04,4,0.08767613294979106,0.08203186484351567,component_data,avatarRT_sub_08
132,OMP,ses_03,1,0.12042076668890712,0.10499053488084001,manifold_projection,avatarRT_sub_08
133,OMP,ses_03,1,0.8701810198666022,0.8268936148835593,voxel_data,avatarRT_sub_08
134,OMP,ses_03,1,0.11862676272938831,0.10299781354152342,component_data,avatarRT_sub_08
135,OMP,ses_03,2,0.10189949247723988,0.0973420265976963,manifold_projection,avatarRT_sub_08
136,OMP,ses_03,2,1.2960494002952188,1.264629462142222,voxel_data,avatarRT_sub_08
137,OMP,ses_03,2,0.10199455120039654,0.09755669013127292,component_data,avatarRT_sub_08
