embedding_type,metric,subject_id,embedding_dim,score
tphate,himalaya,avatarRT_sub_10,15,0.997337239
tphate,himalaya,avatarRT_sub_11,15,0.993698917
tphate,himalaya,avatarRT_sub_13,15,1.002594674
tphate,himalaya,avatarRT_sub_14,15,1.005090223
tphate,himalaya,avatarRT_sub_15,15,1.002450724
tphate,himalaya,avatarRT_sub_16,15,1.000742495
tphate,himalaya,avatarRT_sub_17,15,1.001330149
tphate,himalaya,avatarRT_sub_18,15,1.002417542
tphate,himalaya,avatarRT_sub_19,15,1.00051175
tphate,himalaya,avatarRT_sub_21,15,1.005306707
tphate,himalaya,avatarRT_sub_22,15,1.003595085
tphate,himalaya,avatarRT_sub_23,15,1.00574917
tphate,himalaya,avatarRT_sub_24,15,1.000120882
tphate,himalaya,avatarRT_sub_25,15,1.000566289
tphate,himalaya,avatarRT_sub_05,20,1.000630645
tphate,himalaya,avatarRT_sub_06,20,0.988439513
tphate,himalaya,avatarRT_sub_07,20,1.001757822
tphate,himalaya,avatarRT_sub_08,20,1.001241002
tphate,himalaya,avatarRT_sub_10,20,0.986506041
tphate,himalaya,avatarRT_sub_11,20,0.992135977
tphate,himalaya,avatarRT_sub_13,20,1.002033642
tphate,himalaya,avatarRT_sub_14,20,1.005321357
tphate,himalaya,avatarRT_sub_15,20,1.002321744
tphate,himalaya,avatarRT_sub_16,20,1.000670684
tphate,himalaya,avatarRT_sub_17,20,1.001382076
tphate,himalaya,avatarRT_sub_18,20,1.002539544
tphate,himalaya,avatarRT_sub_19,20,1.001050148
tphate,himalaya,avatarRT_sub_21,20,1.002928471
tphate,himalaya,avatarRT_sub_22,20,1.003676753
tphate,himalaya,avatarRT_sub_23,20,1.00578066
tphate,himalaya,avatarRT_sub_24,20,1.000700415
tphate,himalaya,avatarRT_sub_25,20,0.980170941
pca,p,avatarRT_sub_05,2,0.059
pca,p,avatarRT_sub_06,2,0.934
pca,p,avatarRT_sub_07,2,0.026
pca,p,avatarRT_sub_08,2,0.134
pca,p,avatarRT_sub_10,2,0.095
pca,p,avatarRT_sub_11,2,0.01
pca,p,avatarRT_sub_13,2,0.507
pca,p,avatarRT_sub_14,2,0.132
pca,p,avatarRT_sub_15,2,0.137
pca,p,avatarRT_sub_16,2,0.198
pca,p,avatarRT_sub_17,2,0.026
pca,p,avatarRT_sub_18,2,0.875
pca,p,avatarRT_sub_19,2,0.153
pca,p,avatarRT_sub_21,2,0.274
pca,p,avatarRT_sub_22,2,0.001
pca,p,avatarRT_sub_23,2,0.027
pca,p,avatarRT_sub_24,2,0.542
pca,p,avatarRT_sub_25,2,0.228
pca,p,avatarRT_sub_05,3,0.014
pca,p,avatarRT_sub_06,3,0.997
pca,p,avatarRT_sub_07,3,0.061
pca,p,avatarRT_sub_08,3,0.005
pca,p,avatarRT_sub_10,3,0.069
pca,p,avatarRT_sub_11,3,0.007
pca,p,avatarRT_sub_13,3,0.831
pca,p,avatarRT_sub_14,3,0.027
pca,p,avatarRT_sub_15,3,0.004
pca,p,avatarRT_sub_16,3,0.408
pca,p,avatarRT_sub_17,3,0.001
pca,p,avatarRT_sub_18,3,0.255
pca,p,avatarRT_sub_19,3,0.017
pca,p,avatarRT_sub_21,3,0.019
pca,p,avatarRT_sub_22,3,0.001
pca,p,avatarRT_sub_23,3,0.057
pca,p,avatarRT_sub_24,3,0.179
pca,p,avatarRT_sub_25,3,0.081
pca,p,avatarRT_sub_05,5,0.001
pca,p,avatarRT_sub_06,5,0.483
pca,p,avatarRT_sub_07,5,0.001
pca,p,avatarRT_sub_08,5,0.001
pca,p,avatarRT_sub_10,5,0.007
pca,p,avatarRT_sub_11,5,0.001
pca,p,avatarRT_sub_13,5,0.835
pca,p,avatarRT_sub_14,5,0.006
pca,p,avatarRT_sub_15,5,0.002
pca,p,avatarRT_sub_16,5,0.152
pca,p,avatarRT_sub_17,5,0.001
pca,p,avatarRT_sub_18,5,0.195
pca,p,avatarRT_sub_19,5,0.001
pca,p,avatarRT_sub_21,5,0.001
pca,p,avatarRT_sub_22,5,0.001
pca,p,avatarRT_sub_23,5,0.048
pca,p,avatarRT_sub_24,5,0.032
pca,p,avatarRT_sub_25,5,0.111
pca,p,avatarRT_sub_05,10,0.001
pca,p,avatarRT_sub_06,10,0.19
