,session_type,session_id,delta_total_variance,delta_average_variance,data_type,subject_id
132,OMP,ses_03,-0.1755471065222336,-0.1495971987337815,manifold_projection,avatarRT_sub_20
133,OMP,ses_03,-0.08499498245886472,0.0053842337998520895,voxel_data,avatarRT_sub_20
134,OMP,ses_03,-0.17703954844840794,-0.15093968375065753,component_data,avatarRT_sub_20
135,IM,ses_02,-0.06230171173897271,-0.03580451603313188,manifold_projection,avatarRT_sub_21
136,IM,ses_02,-0.41074949092085755,-0.20726177750906283,voxel_data,avatarRT_sub_21
137,IM,ses_02,-0.06225771546181527,-0.03537496670678909,component_data,avatarRT_sub_21
138,WMP,ses_03,-0.06661528862570126,-0.04939646901140181,manifold_projection,avatarRT_sub_21
139,WMP,ses_03,-0.402363403225359,-0.24074917843943378,voxel_data,avatarRT_sub_21
140,WMP,ses_03,-0.07452812773636261,-0.04968998936925115,component_data,avatarRT_sub_21
141,OMP,ses_04,-0.016561494731256676,0.0057674948158142475,manifold_projection,avatarRT_sub_21
142,OMP,ses_04,-0.04138456741130936,0.06738592398222754,voxel_data,avatarRT_sub_21
143,OMP,ses_04,-0.02069187837090916,0.005751351888904618,component_data,avatarRT_sub_21
144,IM,ses_02,-0.04582711349653727,-0.047121205448849596,manifold_projection,avatarRT_sub_22
145,IM,ses_02,-0.06227061541222456,-0.10557030538995726,voxel_data,avatarRT_sub_22
146,IM,ses_02,-0.04506900515339804,-0.04660023949860924,component_data,avatarRT_sub_22
147,WMP,ses_04,-0.01692665992573758,-0.023482069135074585,manifold_projection,avatarRT_sub_22
148,WMP,ses_04,-0.03038291786899794,-0.11370728401241414,voxel_data,avatarRT_sub_22
149,WMP,ses_04,-0.01513313529078325,-0.023505305626699113,component_data,avatarRT_sub_22
150,OMP,ses_03,-0.035472904177440284,-0.050187545114079246,manifold_projection,avatarRT_sub_22
151,OMP,ses_03,-0.15295567293834234,-0.28756028696221103,voxel_data,avatarRT_sub_22
152,OMP,ses_03,-0.035935842209896485,-0.050373355730324684,component_data,avatarRT_sub_22
153,IM,ses_02,0.05640471880241296,0.06835370667430271,manifold_projection,avatarRT_sub_23
154,IM,ses_02,0.06575489482223107,0.18799588791159993,voxel_data,avatarRT_sub_23
155,IM,ses_02,0.0568146993472467,0.06941631131972752,component_data,avatarRT_sub_23
156,WMP,ses_03,0.017344618724365046,0.018021218431326744,manifold_projection,avatarRT_sub_23
157,WMP,ses_03,-0.10095916346070033,-0.09340114994347282,voxel_data,avatarRT_sub_23
158,WMP,ses_03,0.01780540305839662,0.018236644326119766,component_data,avatarRT_sub_23
159,OMP,ses_04,-0.004160999473284105,-0.016084890232137106,manifold_projection,avatarRT_sub_23
160,OMP,ses_04,0.005502454658637745,-0.04955524107193132,voxel_data,avatarRT_sub_23
161,OMP,ses_04,-0.005082469912609772,-0.01710814606631672,component_data,avatarRT_sub_23
162,IM,ses_02,-0.029374682662580615,0.007935041402799298,manifold_projection,avatarRT_sub_24
163,IM,ses_02,-0.0519219979151222,0.11049588485347661,voxel_data,avatarRT_sub_24
164,IM,ses_02,-0.029046931214256083,0.00660798751186123,component_data,avatarRT_sub_24
165,WMP,ses_03,-0.03825440125360481,-0.03481800313001529,manifold_projection,avatarRT_sub_24
166,WMP,ses_03,-0.15360968495699323,-0.1811769633623671,voxel_data,avatarRT_sub_24
167,WMP,ses_03,-0.03907535812451028,-0.03508929274639226,component_data,avatarRT_sub_24
168,OMP,ses_04,0.024235092861457946,0.022702228106499328,manifold_projection,avatarRT_sub_24
169,OMP,ses_04,0.005912355526056512,-0.061608059075796806,voxel_data,avatarRT_sub_24
170,OMP,ses_04,0.02599334484485985,0.023121985403689427,component_data,avatarRT_sub_24
171,IM,ses_02,0.005515654452109747,0.0316563371412687,manifold_projection,avatarRT_sub_25
172,IM,ses_02,-0.024265178967280532,0.1388904298522481,voxel_data,avatarRT_sub_25
173,IM,ses_02,0.004320207827785333,0.02727588387906507,component_data,avatarRT_sub_25
174,WMP,ses_04,-0.03852356417867332,-0.03432191024736142,manifold_projection,avatarRT_sub_25
175,WMP,ses_04,-0.021142735815880664,-0.051453388611304995,voxel_data,avatarRT_sub_25
176,WMP,ses_04,-0.03676863300587872,-0.034116071982661964,component_data,avatarRT_sub_25
177,OMP,ses_03,-0.007220121912852387,-0.0054342946901510675,manifold_projection,avatarRT_sub_25
178,OMP,ses_03,-0.12400570979580783,-0.08118640186531456,voxel_data,avatarRT_sub_25
179,OMP,ses_03,-0.008201312381190151,-0.005948583095997051,component_data,avatarRT_sub_25
